Human.Gene,Uniprot ID,Protein Name,Protein Description,Bulk_avg_abundance,Vessel_avg_abundance,Differentially expressed?,logFC (Vessel vs. Bulk),P.Value (Vessel vs. Bulk),adj.P.Value (Vessel vs. Bulk)
CYP2U1,Q7Z449,CP2U1_HUMAN,Cytochrome P450 2U1,184063.6502,1585741.803,Vessel enriched,3.05,0.00032457,0.378
ENPEP,Q07075,AMPE_HUMAN,Glutamyl aminopeptidase,1044367.947,6301489.289,Vessel enriched,3.05,0.001803403,0.624
TMED10,P49755,TMEDA_HUMAN,Transmembrane emp24 domain-containing protein 10,2707003.032,22834719.01,Vessel enriched,3.04,3.64849E-06,0.146
TLN1,Q9Y490,TLN1_HUMAN,Talin-1,11816480.56,119207579.4,Vessel enriched,3.04,7.70428E-05,0.344
F10,P00742,FA10_HUMAN,Coagulation factor X,151090.963,1861697.796,Vessel enriched,3.03,0.004270201,0.676
SLC5A6,Q9Y289,SC5A6_HUMAN,Sodium-dependent multivitamin transporter,478715.7595,4522637.917,Vessel enriched,3.02,0.000164335,0.411
CEMIP2,Q9UHN6,CEIP2_HUMAN,Inactive cell surface hyaluronidase CEMIP2,454731.1648,4230818.047,Vessel enriched,3.02,0.00034986,0.476
MYO1C,O00159,MYO1C_HUMAN,Unconventional myosin-Ic,881858.8101,10836361.96,Vessel enriched,3.02,0.00310364,0.673
TBXA2R,P21731,TA2R_HUMAN,Thromboxane A2 receptor,223221.9404,1944783.222,Vessel enriched,3.02,0.004585924,0.643
YAP1,P46937,YAP1_HUMAN,Transcriptional coactivator YAP1,109370.2742,887868.4293,Vessel enriched,3.02,0.005343697,0.63
SYNGR2,O43760,SNG2_HUMAN,Synaptogyrin-2,5730597.608,46859917.67,Vessel enriched,3.01,4.44766E-05,0.3
NUP85,Q9BW27,NUP85_HUMAN,Nuclear pore complex protein Nup85,643155.3712,5103705.984,Vessel enriched,3,5.21192E-06,0.165
TMEM43,Q9BTV4,TMM43_HUMAN,Transmembrane protein 43,3436063.83,32750541.53,Vessel enriched,3,7.24597E-05,0.338
TMEM205,Q6UW68,TM205_HUMAN,Transmembrane protein 205,1199096.502,10238976.49,Vessel enriched,3,0.000168594,0.413
SLC27A3,Q5K4L6,S27A3_HUMAN,Long-chain fatty acid transport protein 3,199244.9955,1720657.287,Vessel enriched,3,0.000780852,0.474
LRRC25,Q8N386,LRC25_HUMAN,Leucine-rich repeat-containing protein 25,65240.01373,553084.5463,Vessel enriched,3,0.004188432,0.632
SPARCL1,Q14515,SPRL1_HUMAN,SPARC-like protein 1,11844204.17,143463426.5,Vessel enriched,2.99,0.000855311,0.546
HSPB1,P04792,HSPB1_HUMAN,Heat shock protein beta-1,7713073.21,92393993.93,Vessel enriched,2.99,0.003406273,0.681
TRA2B,P62995,TRA2B_HUMAN,Transformer-2 protein homolog beta,3143288.915,27055047.27,Vessel enriched,2.97,1.54626E-05,0.231
SLC16A3,O15427,MOT4_HUMAN,Monocarboxylate transporter 4,295924.2909,3006751.048,Vessel enriched,2.95,0.003795162,0.664
SLC7A5,Q01650,LAT1_HUMAN,Large neutral amino acids transporter small subunit 1,9229553.059,77929474.84,Vessel enriched,2.93,2.82178E-05,0.273
MRGPRF,Q96AM1,MRGRF_HUMAN,Mas-related G-protein coupled receptor member F,690137.0947,6757476.121,Vessel enriched,2.93,0.000657227,0.523
LBR,Q14739,LBR_HUMAN,Delta(14)-sterol reductase LBR,1056034.16,8604924.311,Vessel enriched,2.89,7.14726E-05,0.337
TMCO1,Q9UM00,TMCO1_HUMAN,Calcium load-activated calcium channel,953568.1376,5475087.227,Vessel enriched,2.89,0.000326753,0.471
ICAM1,P05362,ICAM1_HUMAN,Intercellular adhesion molecule 1,913575.6389,7437633.277,Vessel enriched,2.89,0.000401642,0.487
MFSD10,Q14728,MFS10_HUMAN,Major facilitator superfamily domain-containing protein 10,531917.9978,4561992.795,Vessel enriched,2.89,0.001512553,0.564
RUVBL2,Q9Y230,RUVB2_HUMAN,RuvB-like 2,1953421.721,13265416.12,Vessel enriched,2.88,2.10845E-05,0.253
TRA2A,Q13595,TRA2A_HUMAN,Transformer-2 protein homolog alpha,650613.1809,5362847.194,Vessel enriched,2.88,4.39358E-05,0.3
ARSD,P51689,ARSD_HUMAN,Arylsulfatase D,270103.0433,2253393.022,Vessel enriched,2.88,0.001750627,0.552
PLXDC1,Q8IUK5,PLDX1_HUMAN,Plexin domain-containing protein 1,992032.439,8648595.733,Vessel enriched,2.87,0.000156253,0.406
GTF3C3,Q9Y5Q9,TF3C3_HUMAN,General transcription factor 3C polypeptide 3,67319.16456,534006.4874,Vessel enriched,2.87,0.011212725,0.715
ARL6IP5,O75915,PRAF3_HUMAN,PRA1 family protein 3,2061574.659,13007044.94,Vessel enriched,2.86,0.001289833,0.59
LRCH4,O75427,LRCH4_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 4,106282.961,839663.6599,Vessel enriched,2.84,0.001581346,0.539
FMNL3,Q8IVF7,FMNL3_HUMAN,Formin-like protein 3,158312.3713,1742277.573,Vessel enriched,2.84,0.042472928,0.826
SLC12A7,Q9Y666,S12A7_HUMAN,Solute carrier family 12 member 7,1388733.107,11062179.93,Vessel enriched,2.83,0.000121905,0.355
ARSL,P51690,ARSL_HUMAN,Arylsulfatase L,258777.2421,2573986.068,Vessel enriched,2.83,0.005035769,0.691
HLA-C,P10321,HLAC_HUMAN,"HLA class I histocompatibility antigen, C alpha chain",2282343.719,17000221.73,Vessel enriched,2.82,1.16225E-05,0.212
NUP155,O75694,NU155_HUMAN,Nuclear pore complex protein Nup155,1487952.046,10727224.92,Vessel enriched,2.82,2.21433E-05,0.257
CIC,Q96RK0,CIC_HUMAN,Protein capicua homolog,6068299.33,18142601.9,Not differentially expressed,2.82,0.172179205,0.879
TMEM51,Q9NW97,TMM51_HUMAN,Transmembrane protein 51,221492.6476,2253067.746,Vessel enriched,2.81,0.015167886,0.773
LIMA1,Q9UHB6,LIMA1_HUMAN,LIM domain and actin-binding protein 1,665607.3611,4593525.105,Vessel enriched,2.8,4.15635E-05,0.272
P2RX4,Q99571,P2RX4_HUMAN,P2X purinoceptor 4,133467.9306,1002889.608,Vessel enriched,2.8,0.00084311,0.481
LEMD2,Q8NC56,LEMD2_HUMAN,LEM domain-containing protein 2,2369160.236,17191784.69,Vessel enriched,2.79,2.13124E-05,0.254
S100A4,P26447,S10A4_HUMAN,Protein S100-A4,273607.3461,1865003.456,Vessel enriched,2.79,0.000145737,0.37
MBOAT7,Q96N66,MBOA7_HUMAN,Lysophospholipid acyltransferase 7,1974435.291,11732040.61,Vessel enriched,2.79,0.000491617,0.502
PRTN3,P24158,PRTN3_HUMAN,Myeloblastin,440170.7676,2852854.155,Vessel enriched,2.79,0.000884388,0.51
SSR3,Q9UNL2,SSRG_HUMAN,Translocon-associated protein subunit gamma,277120.1533,2043760.444,Vessel enriched,2.79,0.003851751,0.647
TMPO,P42166,LAP2A_HUMAN,"Lamina-associated polypeptide 2, isoform alpha",6457995.068,45551190.98,Vessel enriched,2.78,1.80589E-05,0.243
RECK,O95980,RECK_HUMAN,Reversion-inducing cysteine-rich protein with Kazal motifs,305994.6238,2026286.678,Vessel enriched,2.78,0.00010033,0.366
TGFB1,P01137,TGFB1_HUMAN,Transforming growth factor beta-1 proprotein,97681.42334,723020.2519,Vessel enriched,2.78,0.006580562,0.682
CTDP1,Q9Y5B0,CTDP1_HUMAN,RNA polymerase II subunit A C-terminal domain phosphatase,110450.3709,757337.4582,Vessel enriched,2.78,0.00786055,0.678
PRPF8,Q6P2Q9,PRP8_HUMAN,Pre-mRNA-processing-splicing factor 8,6704329.959,49844169.87,Vessel enriched,2.76,3.30179E-05,0.283
NDC1,Q9BTX1,NDC1_HUMAN,Nucleoporin NDC1,263134.0778,1953781.193,Vessel enriched,2.76,0.000184998,0.393
SLCO2B1,O94956,SO2B1_HUMAN,Solute carrier organic anion transporter family member 2B1,800295.7601,6908229.784,Vessel enriched,2.76,0.000589423,0.515
CALHM2,Q9HA72,CAHM2_HUMAN,Calcium homeostasis modulator protein 2,336305.9269,2599355.563,Vessel enriched,2.75,0.009052169,0.728
SLC20A2,Q08357,S20A2_HUMAN,Sodium-dependent phosphate transporter 2,1415734.14,10263463.64,Vessel enriched,2.74,4.97164E-05,0.306
SRSF4,Q08170,SRSF4_HUMAN,Serine/arginine-rich splicing factor 4,2173285.987,15584880.01,Vessel enriched,2.74,0.000189642,0.424
TMEM123,Q8N131,PORIM_HUMAN,Porimin,1220310.291,9004390.596,Vessel enriched,2.74,0.000498575,0.503
EIF4A3,P38919,IF4A3_HUMAN,Eukaryotic initiation factor 4A-III,1244360.321,9196563.354,Vessel enriched,2.73,9.59544E-05,0.362
PLEKHA5,Q9HAU0,PKHA5_HUMAN,Pleckstrin homology domain-containing family A member 5,266131.6346,1240165.178,Vessel enriched,2.73,0.037368164,0.819
CD40,P25942,TNR5_HUMAN,Tumor necrosis factor receptor superfamily member 5,428279.2775,2835017.65,Vessel enriched,2.72,4.02344E-05,0.27
SRSF1,Q07955,SRSF1_HUMAN,Serine/arginine-rich splicing factor 1,8058546.944,55588196.58,Vessel enriched,2.72,6.41889E-05,0.327
MYO1B,O43795,MYO1B_HUMAN,Unconventional myosin-Ib,593501.8433,4875854.562,Vessel enriched,2.72,0.001566106,0.569
COL1A2,P08123,CO1A2_HUMAN,Collagen alpha-2(I) chain,713193.2548,11429065.61,Not differentially expressed,2.72,0.106186784,0.863
S100A7,P31151,S10A7_HUMAN,Protein S100-A7,4967256.986,18498924.62,Not differentially expressed,2.7,0.058269802,0.845
INTS11,Q5TA45,INT11_HUMAN,Integrator complex subunit 11,203423.5951,1410105.247,Vessel enriched,2.69,0.000108433,0.344
CYB5R3,P00387,NB5R3_HUMAN,NADH-cytochrome b5 reductase 3,22651399.46,171724277.6,Vessel enriched,2.69,0.000184696,0.422
SNU13,P55769,NH2L1_HUMAN,NHP2-like protein 1,520231.3002,3814195.938,Vessel enriched,2.69,0.000431646,0.492
UTP3,Q9NQZ2,SAS10_HUMAN,Something about silencing protein 10,92148.55794,715270.4824,Vessel enriched,2.69,0.002796309,0.634
NT5DC2,Q9H857,NT5D2_HUMAN,5'-nucleotidase domain-containing protein 2,282091.8417,1924745.392,Vessel enriched,2.69,0.006850573,0.686
IFIT1,P09914,IFIT1_HUMAN,Interferon-induced protein with tetratricopeptide repeats 1,357698.5254,2315740.503,Vessel enriched,2.68,0.000767941,0.499
ARL6IP1,Q15041,AR6P1_HUMAN,ADP-ribosylation factor-like protein 6-interacting protein 1,1571801.695,3745813.605,Vessel enriched,2.68,0.015357226,0.784
SBSPON,Q8IVN8,SBSPO_HUMAN,Somatomedin-B and thrombospondin type-1 domain-containing protein,80878.57979,562580.8123,Vessel enriched,2.66,0.01125514,0.733
GNAI3,P08754,GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-3,2410876.333,16375536.88,Vessel enriched,2.65,0.000137584,0.394
ITM2A,O43736,ITM2A_HUMAN,Integral membrane protein 2A,202718.7813,1478776.105,Vessel enriched,2.65,0.003309669,0.666
COL6A2,P12110,CO6A2_HUMAN,Collagen alpha-2(VI) chain,492079.6842,5642045.645,Vessel enriched,2.65,0.005247466,0.706
NUP93,Q8N1F7,NUP93_HUMAN,Nuclear pore complex protein Nup93,1893891.898,11952721.7,Vessel enriched,2.64,2.1073E-05,0.253
CPT1A,P50416,CPT1A_HUMAN,"Carnitine O-palmitoyltransferase 1, liver isoform",4694252.236,29937490.66,Vessel enriched,2.64,0.000503117,0.503
RASIP1,Q5U651,RAIN_HUMAN,Ras-interacting protein 1,174345.5717,1275391.649,Vessel enriched,2.64,0.00365803,0.642
SP1,P08047,SP1_HUMAN,Transcription factor Sp1,345850.2019,2873506.166,Vessel enriched,2.64,0.021488029,0.782
MAOA,P21397,AOFA_HUMAN,Amine oxidase [flavin-containing] A,10048922.21,63941916.7,Vessel enriched,2.63,5.15548E-05,0.308
CBX7,O95931,CBX7_HUMAN,Chromobox protein homolog 7,280271.8807,2083929.707,Vessel enriched,2.63,0.017930041,0.769
NUP160,Q12769,NU160_HUMAN,Nuclear pore complex protein Nup160,754440.4373,4458051.662,Vessel enriched,2.62,6.12654E-05,0.323
ZC3H11A,O75152,ZC11A_HUMAN,Zinc finger CCCH domain-containing protein 11A,287395.4384,837074.5187,Not differentially expressed,2.62,0.121772231,0.866
PDE4B,Q07343,PDE4B_HUMAN,"3',5'-cyclic-AMP phosphodiesterase 4B",433222.6697,2608104.142,Vessel enriched,2.61,0.000243651,0.387
THBS1,P07996,TSP1_HUMAN,Thrombospondin-1,373975.5044,2760006.342,Vessel enriched,2.61,0.00097677,0.538
FKBP7,Q9Y680,FKBP7_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP7,147803.921,931850.8255,Vessel enriched,2.61,0.006361036,0.679
CD164,Q04900,MUC24_HUMAN,Sialomucin core protein 24,127280.789,891138.8427,Vessel enriched,2.61,0.011139073,0.744
ITGB3,P05106,ITB3_HUMAN,Integrin beta-3,451347.0874,2174339.233,Vessel enriched,2.61,0.014486324,0.776
TSPO,P30536,TSPO_HUMAN,Translocator protein,611490.6269,3800232.063,Vessel enriched,2.6,0.000458475,0.478
MRC2,Q9UBG0,MRC2_HUMAN,C-type mannose receptor 2,441866.5492,3342469.72,Vessel enriched,2.6,0.000486013,0.501
ERH,P84090,ERH_HUMAN,Enhancer of rudimentary homolog,778010.8652,4344758.696,Vessel enriched,2.6,0.000606742,0.517
TXNIP,Q9H3M7,TXNIP_HUMAN,Thioredoxin-interacting protein,72844.34931,493530.5456,Vessel enriched,2.6,0.021175161,0.771
AEBP1,Q8IUX7,AEBP1_HUMAN,Adipocyte enhancer-binding protein 1,167383.1699,1514351.547,Vessel enriched,2.6,0.022743657,0.797
NECTIN2,Q92692,NECT2_HUMAN,Nectin-2,1791023.834,11816514.43,Vessel enriched,2.59,8.06001E-05,0.348
TGM2,P21980,TGM2_HUMAN,Protein-glutamine gamma-glutamyltransferase 2,2166064.485,15477266.92,Vessel enriched,2.59,0.00045686,0.496
TM9SF2,Q99805,TM9S2_HUMAN,Transmembrane 9 superfamily member 2,1714744.776,9622513.606,Vessel enriched,2.59,0.001841246,0.626
B4GALT1,P15291,B4GT1_HUMAN,"Beta-1,4-galactosyltransferase 1",161289.3583,973768.897,Vessel enriched,2.57,0.000114952,0.349
SNRPA1,P09661,RU2A_HUMAN,U2 small nuclear ribonucleoprotein A',1519714.8,10732551.61,Vessel enriched,2.57,0.000275792,0.457
SPCS1,Q9Y6A9,SPCS1_HUMAN,Signal peptidase complex subunit 1,391299.4539,2467867.784,Vessel enriched,2.57,0.004139409,0.673
TRAM1,Q15629,TRAM1_HUMAN,Translocating chain-associated membrane protein 1,1107129.345,7341397.545,Vessel enriched,2.56,0.000794149,0.521
SOAT1,P35610,SOAT1_HUMAN,Sterol O-acyltransferase 1,181956.8495,1184442.859,Vessel enriched,2.56,0.005111228,0.676
SNRNP200,O75643,U520_HUMAN,U5 small nuclear ribonucleoprotein 200 kDa helicase,2331891.643,14357747.2,Vessel enriched,2.55,5.24402E-05,0.309
ITGB5,P18084,ITB5_HUMAN,Integrin beta-5,1334356.763,8777931.971,Vessel enriched,2.55,0.000163048,0.41
H1-2,P16403,H12_HUMAN,Histone H1.2,105847144.5,975721600.1,Vessel enriched,2.55,0.022154827,0.803
POGLUT3,Q7Z4H8,PLGT3_HUMAN,Protein O-glucosyltransferase 3,709255.1161,4662618.283,Vessel enriched,2.54,0.000319292,0.469
PALM2AKAP2,Q9Y2D5,PLAK2_HUMAN,PALM2-AKAP2 fusion protein,1153973.764,7884580.66,Vessel enriched,2.53,0.000324662,0.47
S100A9,P06702,S10A9_HUMAN,Protein S100-A9,2376256.039,16858707.92,Vessel enriched,2.53,0.040579977,0.831
ESYT2,A0FGR8,ESYT2_HUMAN,Extended synaptotagmin-2,4823741.538,33007140.51,Vessel enriched,2.52,0.000327432,0.471
MPO,P05164,PERM_HUMAN,Myeloperoxidase,595979.7749,3881296.075,Vessel enriched,2.52,0.002001053,0.597
SLC43A3,Q8NBI5,S43A3_HUMAN,Equilibrative nucleobase transporter 1,177010.296,1602581.18,Vessel enriched,2.52,0.02857553,0.809
FAM162B,Q5T6X4,F162B_HUMAN,Protein FAM162B,599579.3016,2814126.36,Vessel enriched,2.51,0.001927938,0.614
LGALS7B,P47929,LEG7_HUMAN,Galectin-7,1607512.018,47868934.18,Not differentially expressed,2.51,0.113206859,0.868
EMC3,Q9P0I2,EMC3_HUMAN,ER membrane protein complex subunit 3,898428.599,5066091.125,Vessel enriched,2.5,0.000131108,0.389
EPHX1,P07099,HYEP_HUMAN,Epoxide hydrolase 1,12717026.18,80727120.61,Vessel enriched,2.5,0.00031199,0.467
TM9SF1,O15321,TM9S1_HUMAN,Transmembrane 9 superfamily member 1,350991.033,2136846.806,Vessel enriched,2.5,0.000540982,0.468
EMC4,Q5J8M3,EMC4_HUMAN,ER membrane protein complex subunit 4,566410.3744,3261194.544,Vessel enriched,2.5,0.001926608,0.614
DDRGK1,Q96HY6,DDRGK_HUMAN,DDRGK domain-containing protein 1,1186805.435,6983049.951,Vessel enriched,2.49,0.000416312,0.49
MAP3K20,Q9NYL2,M3K20_HUMAN,Mitogen-activated protein kinase kinase kinase 20,168307.3912,1112598.904,Vessel enriched,2.49,0.025915715,0.794
DDOST,P39656,OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,5834826.43,33837685.45,Vessel enriched,2.48,3.85246E-05,0.292
DDX27,Q96GQ7,DDX27_HUMAN,Probable ATP-dependent RNA helicase DDX27,543012.9412,3296106.314,Vessel enriched,2.48,0.000304444,0.442
FKBP9,O95302,FKBP9_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP9,878001.175,5917686.587,Vessel enriched,2.48,0.000568207,0.512
PALMD,Q9NP74,PALMD_HUMAN,Palmdelphin,293889.7494,1499970.098,Vessel enriched,2.48,0.002001681,0.57
WFIKKN2,Q8TEU8,WFKN2_HUMAN,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",147205.2886,929941.4206,Vessel enriched,2.48,0.026668152,0.788
NUP107,P57740,NU107_HUMAN,Nuclear pore complex protein Nup107,1039928.369,5736200.48,Vessel enriched,2.47,3.83471E-05,0.292
PSMB10,P40306,PSB10_HUMAN,Proteasome subunit beta type-10,425627.5079,2557916.473,Vessel enriched,2.47,9.08212E-05,0.358
SYPL1,Q16563,SYPL1_HUMAN,Synaptophysin-like protein 1,24058018.59,142034906.4,Vessel enriched,2.47,0.000248793,0.448
S100A11,P31949,S10AB_HUMAN,Protein S100-A11,3310565.771,28831816.66,Vessel enriched,2.47,0.006934074,0.727
ELANE,P08246,ELNE_HUMAN,Neutrophil elastase,749203.2073,4458591.277,Vessel enriched,2.47,0.008419194,0.722
CD302,Q8IX05,CD302_HUMAN,CD302 antigen,263112.8012,1473751.88,Vessel enriched,2.46,0.000116026,0.35
P4HB,P07237,PDIA1_HUMAN,Protein disulfide-isomerase,8192587.101,45746730.23,Vessel enriched,2.46,0.00015599,0.406
PHF5A,Q7RTV0,PHF5A_HUMAN,PHD finger-like domain-containing protein 5A,2130650.454,12538488.23,Vessel enriched,2.46,0.000189348,0.424
HSD17B11,Q8NBQ5,DHB11_HUMAN,Estradiol 17-beta-dehydrogenase 11,1173753.077,7447433.694,Vessel enriched,2.46,0.000549202,0.51
NES,P48681,NEST_HUMAN,Nestin,572800.6641,3514911.316,Vessel enriched,2.46,0.001269967,0.589
S1PR2,O95136,S1PR2_HUMAN,Sphingosine 1-phosphate receptor 2,90776.96006,609369.3121,Vessel enriched,2.46,0.027088134,0.797
NUP35,Q8NFH5,NUP35_HUMAN,Nucleoporin NUP35,1330347.569,7742509.644,Vessel enriched,2.45,5.07207E-05,0.307
INTS1,Q8N201,INT1_HUMAN,Integrator complex subunit 1,366492.1585,2130108.73,Vessel enriched,2.45,0.000736098,0.515
DHRS1,Q96LJ7,DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1,788671.7428,4961405.183,Vessel enriched,2.45,0.0009979,0.563
POMT1,Q9Y6A1,POMT1_HUMAN,Protein O-mannosyl-transferase 1,148623.7183,630864.8633,Vessel enriched,2.45,0.014035343,0.751
ATL3,Q6DD88,ATLA3_HUMAN,Atlastin-3,2361918.964,15975605.43,Vessel enriched,2.44,0.000936849,0.556
DHRSX,Q8N5I4,DHRSX_HUMAN,Dehydrogenase/reductase SDR family member on chromosome X,281288.8172,1564429.546,Vessel enriched,2.44,0.001360004,0.524
BRI3BP,Q8WY22,BRI3B_HUMAN,BRI3-binding protein,1996251.879,11535508.37,Vessel enriched,2.43,0.00034509,0.475
PDLIM1,O00151,PDLI1_HUMAN,PDZ and LIM domain protein 1,1214242.863,6856992.474,Vessel enriched,2.43,0.000769102,0.499
GSTK1,Q9Y2Q3,GSTK1_HUMAN,Glutathione S-transferase kappa 1,1204215.634,5595070.484,Vessel enriched,2.43,0.0012976,0.591
REEP3,Q6NUK4,REEP3_HUMAN,Receptor expression-enhancing protein 3,985773.5283,6923408.595,Vessel enriched,2.43,0.005096956,0.692
ILK,Q13418,ILK_HUMAN,Integrin-linked protein kinase,1321861.48,10243740.72,Vessel enriched,2.43,0.007825697,0.743
MCM3AP,O60318,GANP_HUMAN,Germinal-center associated nuclear protein,110883.8826,665154.2892,Vessel enriched,2.43,0.026664806,0.788
RALY,Q9UKM9,RALY_HUMAN,RNA-binding protein Raly,5418530.607,30938421.55,Vessel enriched,2.42,0.000188502,0.424
HNRNPM,P52272,HNRPM_HUMAN,Heterogeneous nuclear ribonucleoprotein M,7466290.355,48009292.77,Vessel enriched,2.42,0.000324838,0.47
NUP205,Q92621,NU205_HUMAN,Nuclear pore complex protein Nup205,1544436.181,8788904.222,Vessel enriched,2.42,0.000393171,0.485
SMU1,Q2TAY7,SMU1_HUMAN,WD40 repeat-containing protein SMU1,2106063.662,11317380.4,Vessel enriched,2.41,3.5468E-05,0.287
STT3A,P46977,STT3A_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,2158826.673,12458385.4,Vessel enriched,2.41,0.000223099,0.439
CNPY4,Q8N129,CNPY4_HUMAN,Protein canopy homolog 4,393214.473,2777749.151,Vessel enriched,2.41,0.030404123,0.812
BCAT2,O15382,BCAT2_HUMAN,"Branched-chain-amino-acid aminotransferase, mitochondrial",1347212.87,7950424.358,Vessel enriched,2.4,0.000783922,0.536
NOS3,P29474,NOS3_HUMAN,Nitric oxide synthase 3,469330.9772,3354232.66,Vessel enriched,2.4,0.01338301,0.771
EMG1,Q92979,NEP1_HUMAN,Ribosomal RNA small subunit methyltransferase NEP1,316943.3905,1735435.004,Vessel enriched,2.39,9.39048E-05,0.361
FGF2,P09038,FGF2_HUMAN,Fibroblast growth factor 2,475167.2437,2818391.498,Vessel enriched,2.39,0.000392171,0.485
DCN,P07585,PGS2_HUMAN,Decorin,566443.6705,3581219.167,Vessel enriched,2.39,0.001115524,0.575
GNA11,P29992,GNA11_HUMAN,Guanine nucleotide-binding protein subunit alpha-11,3306645.683,18522401.8,Vessel enriched,2.39,0.001726537,0.62
HSD17B12,Q53GQ0,DHB12_HUMAN,Very-long-chain 3-oxoacyl-CoA reductase,12343301.56,69910325.25,Vessel enriched,2.38,0.000219406,0.437
CTNNA1,P35221,CTNA1_HUMAN,Catenin alpha-1,2178483.813,13390192.37,Vessel enriched,2.38,0.000581425,0.514
RNF25,Q96BH1,RNF25_HUMAN,E3 ubiquitin-protein ligase RNF25,645285.3485,3360951.243,Vessel enriched,2.38,0.003733752,0.644
YBX3,P16989,YBOX3_HUMAN,Y-box-binding protein 3,230278.2293,1859043.538,Vessel enriched,2.38,0.010207683,0.76
EMC2,Q15006,EMC2_HUMAN,ER membrane protein complex subunit 2,1110847.232,4196880.999,Vessel enriched,2.38,0.015554734,0.78
RIF1,Q5UIP0,RIF1_HUMAN,Telomere-associated protein RIF1,134178.8782,682771.8082,Vessel enriched,2.38,0.018836362,0.762
S100A8,P05109,S10A8_HUMAN,Protein S100-A8,1595586.219,10008311.71,Vessel enriched,2.38,0.038317029,0.828
LCN1,P31025,LCN1_HUMAN,Lipocalin-1,1047152.891,9386508.709,Vessel enriched,2.38,0.045669531,0.834
SRSF9,Q13242,SRSF9_HUMAN,Serine/arginine-rich splicing factor 9,2275505.753,12297595.29,Vessel enriched,2.37,4.96014E-05,0.306
PRXL2A,Q9BRX8,PXL2A_HUMAN,Peroxiredoxin-like 2A,6276233.54,30888252.86,Vessel enriched,2.37,0.000140475,0.396
SLC29A1,Q99808,S29A1_HUMAN,Equilibrative nucleoside transporter 1,1097976.407,5653022.34,Vessel enriched,2.37,0.000413455,0.489
TSPAN14,Q8NG11,TSN14_HUMAN,Tetraspanin-14,1136452.369,6802402.365,Vessel enriched,2.37,0.00051727,0.505
JCAD,Q9P266,JCAD_HUMAN,Junctional cadherin 5-associated protein,482775.8569,2247674.871,Vessel enriched,2.37,0.000922145,0.532
NUP88,Q99567,NUP88_HUMAN,Nuclear pore complex protein Nup88,889615.3507,4731983.336,Vessel enriched,2.36,6.38992E-05,0.327
LMF1,Q96S06,LMF1_HUMAN,Lipase maturation factor 1,903448.0964,4119735.772,Vessel enriched,2.36,0.001160793,0.579
TMPPE,Q6ZT21,TMPPE_HUMAN,Transmembrane protein with metallophosphoesterase domain,478584.5772,2603996.742,Vessel enriched,2.36,0.001185242,0.582
NUP210,Q8TEM1,PO210_HUMAN,Nuclear pore membrane glycoprotein 210,1143424.41,6961105.301,Vessel enriched,2.36,0.001831335,0.625
RTF2,Q9BY42,RTF2_HUMAN,Replication termination factor 2,284895.7575,1799442.097,Vessel enriched,2.36,0.014389077,0.776
SLC41A3,Q96GZ6,S41A3_HUMAN,Solute carrier family 41 member 3,907191.6189,4694730.276,Vessel enriched,2.35,0.00069921,0.527
SEC11C,Q9BY50,SC11C_HUMAN,Signal peptidase complex catalytic subunit SEC11C,751266.611,3475223.79,Vessel enriched,2.35,0.000705027,0.528
LMNA,P02545,LMNA_HUMAN,Prelamin-A/C,21749378.33,140323394.8,Vessel enriched,2.35,0.002301908,0.647
EIF3E,P60228,EIF3E_HUMAN,Eukaryotic translation initiation factor 3 subunit E,1722242.033,7892403.954,Vessel enriched,2.35,0.00281237,0.665
PAPLN,O95428,PPN_HUMAN,Papilin,297192.1266,2114923.451,Vessel enriched,2.35,0.004242779,0.699
